Player,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS,Team,Role,Game,date,venue,teams.home.name,scores.home.total,teams.away.name,scores.away.total
Olivier-Maxence ProsperO. Prosper#18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dallas Mavericks,Bench,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
Tim Hardaway Jr.T. Hardaway Jr.#10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dallas Mavericks,Bench,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
Dwight PowellD. Powell#7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dallas Mavericks,Bench,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
A.J. LawsonA.J. Lawson#9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dallas Mavericks,Bench,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
Team Maverick Total,0,38-80,6-26,16-24,9,34,43,21,5,3,15,17,0,98,Dallas Mavericks,Bench,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
Jayson TatumJ. Tatum#0,45,6-22,1-7,5-6,1,8,9,12,1,0,3,2,6,18,Boston Celtics,Starters,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
Al HorfordA. Horford#42,28,2-4,1-3,0-0,0,7,7,2,1,0,0,2,1,5,Boston Celtics,Starters,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
Jrue HolidayJ. Holiday#4,41,11-14,2-4,2-2,4,7,11,3,1,1,0,3,6,26,Boston Celtics,Starters,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
Derrick WhiteD. White#9,38,6-15,4-10,2-2,2,3,5,2,3,2,1,2,8,18,Boston Celtics,Starters,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
Jaylen BrownJ. Brown#7,42,8-15,1-5,4-4,2,2,4,7,3,0,6,3,-3,21,Boston Celtics,Starters,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
Sam HauserS. Hauser#30,10,0-5,0-5,2-2,0,0,0,0,0,0,0,1,1,2,Boston Celtics,Bench,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
Kristaps PorzingisK. Porzingis#8,23,4-7,0-3,4-4,0,4,4,1,0,2,0,2,12,12,Boston Celtics,Bench,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
Payton PritchardP. Pritchard#11,12,1-2,1-2,0-0,1,0,1,2,1,0,0,0,4,3,Boston Celtics,Bench,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
Xavier TillmanX. Tillman#26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
Oshae BrissettO. Brissett#12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
Luke KornetL. Kornet#40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
Neemias QuetaN. Queta#88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
Svi MykhailiukS. Mykhailiuk#50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
Jaden SpringerJ. Springer#44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
Jordan WalshJ. Walsh#27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
Team celtics Total,0,38-84,10-39,19-20,10,31,41,29,10,5,10,15,0,105,Boston Celtics,Bench,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
P.J. WashingtonP.J. Washington#25,39,3-9,3-6,4-6,1,7,8,2,0,0,2,3,0,13,Dallas Mavericks,Starters,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
Derrick Jones Jr.D. Jones Jr.#55,16,1-2,0-1,0-0,1,2,3,1,1,0,0,0,-6,2,Dallas Mavericks,Starters,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
Daniel GaffordD. Gafford#21,16,3-3,0-0,0-0,1,2,3,1,0,1,0,2,-11,6,Dallas Mavericks,Starters,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
Kyrie IrvingK. Irving#11,45,13-28,4-6,5-5,0,3,3,2,0,0,2,3,-3,35,Dallas Mavericks,Starters,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
Luka DoncicL. Doncic#77,38,11-27,1-7,4-4,0,6,6,6,1,0,3,6,9,27,Dallas Mavericks,Starters,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
Maxi KleberM. Kleber#42,8,0-2,0-1,0-0,0,1,1,0,0,0,0,0,-13,0,Dallas Mavericks,Bench,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
Tim Hardaway Jr.T. Hardaway Jr.#10,19,0-5,0-3,0-0,0,3,3,0,0,0,0,0,-16,0,Dallas Mavericks,Bench,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
Dereck Lively IID. Lively II#2,30,5-6,0-0,1-1,3,10,13,1,2,0,0,0,6,11,Dallas Mavericks,Bench,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
Josh GreenJ. Green#8,22,1-2,1-1,0-0,1,2,3,2,1,0,0,2,3,3,Dallas Mavericks,Bench,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
Dante ExumD. Exum#0,3,1-1,0-0,0-0,0,0,0,0,0,0,0,1,-4,2,Dallas Mavericks,Bench,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
Jaden HardyJ. Hardy#1,4,0-1,0-0,0-0,0,0,0,0,0,0,1,0,0,0,Dallas Mavericks,Bench,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
Markieff MorrisM. Morris#88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dallas Mavericks,Bench,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
Olivier-Maxence ProsperO. Prosper#18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dallas Mavericks,Bench,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
Dwight PowellD. Powell#7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dallas Mavericks,Bench,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
A.J. LawsonA.J. Lawson#9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dallas Mavericks,Bench,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
Team Maverick Total,0,38-86,9-25,14-16,7,36,43,15,5,1,8,17,0,99,Dallas Mavericks,Bench,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
Jayson TatumJ. Tatum#0,42,11-26,4-13,5-5,0,6,6,5,1,0,2,2,-4,31,Boston Celtics,Starters,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
Al HorfordA. Horford#42,37,3-6,2-5,0-0,0,5,5,2,2,1,2,1,-2,8,Boston Celtics,Starters,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
Jrue HolidayJ. Holiday#4,42,4-9,1-3,0-0,3,1,4,5,1,0,0,4,1,9,Boston Celtics,Starters,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
Derrick WhiteD. White#9,42,4-10,4-9,4-4,0,5,5,4,0,2,1,4,3,16,Boston Celtics,Starters,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
Jaylen BrownJ. Brown#7,41,12-22,2-9,4-5,1,7,8,8,0,1,3,3,13,30,Boston Celtics,Starters,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
Xavier TillmanX. Tillman#26,11,1-1,1-1,0-0,1,3,4,0,0,2,1,2,9,3,Boston Celtics,Bench,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
Sam HauserS. Hauser#30,14,3-4,3-4,0-0,1,2,3,1,0,0,0,1,16,9,Boston Celtics,Bench,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
Payton PritchardP. Pritchard#11,11,0-4,0-2,0-0,0,1,1,1,0,0,0,2,-1,0,Boston Celtics,Bench,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
Oshae BrissettO. Brissett#12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
Luke KornetL. Kornet#40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
Neemias QuetaN. Queta#88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
Svi MykhailiukS. Mykhailiuk#50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
Jaden SpringerJ. Springer#44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
Jordan WalshJ. Walsh#27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
Team Celtics Total,0,38-82,17-46,13-14,6,30,36,26,4,6,9,19,0,106,Boston Celtics,Bench,Game 3,2024-06-13T00:30:00+00:00,American Airlines Center,Dallas Mavericks,99,Boston Celtics,106
P.J. WashingtonP.J. Washington#25,14,2-4,2-3,0-0,0,2,2,0,0,0,2,4,11,6,Dallas Mavericks,Starters,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
Derrick Jones Jr.D. Jones Jr.#55,17,2-4,1-2,0-0,0,2,2,0,0,1,0,3,16,5,Dallas Mavericks,Starters,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
Daniel GaffordD. Gafford#21,10,1-2,0-0,5-6,1,3,4,0,0,1,1,1,12,7,Dallas Mavericks,Starters,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
Kyrie IrvingK. Irving#11,31,10-18,1-6,0-0,1,3,4,6,0,0,1,1,28,21,Dallas Mavericks,Starters,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
Luka DoncicL. Doncic#77,33,12-26,0-8,5-7,0,5,5,5,3,0,1,3,30,29,Dallas Mavericks,Starters,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
Markieff MorrisM. Morris#88,12,1-5,1-3,0-0,0,4,4,0,0,0,1,1,6,3,Dallas Mavericks,Bench,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
Maxi KleberM. Kleber#42,23,1-2,1-1,2-2,0,1,1,1,1,0,0,0,25,5,Dallas Mavericks,Bench,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
Olivier-Maxence ProsperO. Prosper#18,5,0-2,0-0,0-0,0,2,2,1,0,0,0,0,-7,0,Dallas Mavericks,Bench,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
Tim Hardaway Jr.T. Hardaway Jr.#10,12,5-7,5-7,0-0,0,3,3,1,0,0,0,0,6,15,Dallas Mavericks,Bench,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
Dwight PowellD. Powell#7,8,0-0,0-0,0-0,1,2,3,2,0,0,1,1,10,0,Dallas Mavericks,Bench,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
Dereck Lively IID. Lively II#2,22,4-5,1-1,2-4,7,5,12,0,1,0,0,0,20,11,Dallas Mavericks,Bench,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
Josh GreenJ. Green#8,18,1-2,0-0,1-3,2,3,5,1,1,0,0,0,16,3,Dallas Mavericks,Bench,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
Dante ExumD. Exum#0,14,4-7,2-4,0-0,0,2,2,0,1,0,1,1,15,10,Dallas Mavericks,Bench,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
A.J. LawsonA.J. Lawson#9,8,1-2,0-0,0-0,0,0,0,0,0,0,0,0,-1,2,Dallas Mavericks,Bench,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
Jaden HardyJ. Hardy#1,13,2-5,1-2,0-0,1,2,3,4,0,0,0,2,3,5,Dallas Mavericks,Bench,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
Team Maverick Total,0,46-91,15-37,15-22,13,39,52,21,7,2,8,17,0,122,Dallas Mavericks,Bench,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
Jayson TatumJ. Tatum#0,27,4-10,1-4,6-6,0,5,5,3,1,2,3,4,-33,15,Boston Celtics,Starters,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
Al HorfordA. Horford#42,23,1-1,1-1,0-0,1,2,3,4,1,0,1,3,-18,3,Boston Celtics,Starters,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
Jrue HolidayJ. Holiday#4,29,4-10,2-4,0-0,0,3,3,2,0,1,5,1,-38,10,Boston Celtics,Starters,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
Derrick WhiteD. White#9,31,2-8,2-8,0-0,0,4,4,1,0,0,0,2,-29,6,Boston Celtics,Starters,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
Jaylen BrownJ. Brown#7,27,3-12,1-5,3-4,0,1,1,2,0,0,2,3,-28,10,Boston Celtics,Starters,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
Xavier TillmanX. Tillman#26,7,1-2,0-0,1-1,1,0,1,1,0,0,0,1,-13,3,Boston Celtics,Bench,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
Sam HauserS. Hauser#30,20,5-7,4-6,0-0,1,3,4,0,0,0,0,2,-20,14,Boston Celtics,Bench,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
Oshae BrissettO. Brissett#12,15,2-4,1-1,2-2,1,2,3,0,0,1,0,0,-2,7,Boston Celtics,Bench,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
Luke KornetL. Kornet#40,10,0-1,0-0,0-0,0,0,0,2,0,0,0,1,-9,0,Boston Celtics,Bench,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
Neemias QuetaN. Queta#88,5,1-1,0-0,0-0,0,0,0,0,0,1,0,0,7,2,Boston Celtics,Bench,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
